qiao,一九四七年冬，东北某铁路工厂为支援解放战争，接受了抢修松花江铁桥的任务。总工程师看不到群众的力量，对完成任务缺乏信心。少数工人当中也存在着雇佣思想。为制造修复铁桥需要的桥座和铆钉，首先必须修复炼钢炉。为此，工人梁日升创造了以耐火砖代替白云石的办法，试验成功。之后，他们又克服一系列困难，制出修复铁桥需要的桥座和铆钉。为了赶修铁桥，铁路工厂的工人们又响应上级号召，参加了修桥工作，终于在江水解冻之前，将大桥修复。,一九四七年冬，东北某铁路工厂为支援解放战争，接受了抢修松花江铁桥的任务。总工程师看不到群众的力量，对完成任务缺乏信心。少数工人当中也存在着雇佣思想。为制造修复铁桥需要的桥座和铆钉，首先必须修复炼钢炉。为此，工人梁日升创造了以耐火砖代替白云石的办法，试验成功。之后，他们又克服一系列困难，制出修复铁桥需要的桥座和铆钉。为了赶修铁桥，铁路工厂的工人们又响应上级号召，参加了修桥工作，终于在江水解冻之前，将大桥修复。,0
hui dao zi ji dui wu lai,解放战争时期，蒋军士兵吴大刚的家被蒋军抢掠，吴大刚的父亲也遭到蒋军毒打。解放军围攻吴城时，指导员对吴大刚的父亲进行宣传教育，使吴父深受感动，于是他前往城里说服儿子，并和儿子一道，鼓动其他被迫当兵的蒋军士兵投诚。在战斗中，吴大刚和别的蒋军士兵联合起来，抓起了经常欺压他们的蒋军连长，向解放军投诚。,解放战争时期，蒋军士兵吴大刚的家被蒋军抢掠，吴大刚的父亲也遭到蒋军毒打。解放军围攻吴城时，指导员对吴大刚的父亲进行宣传教育，使吴父深受感动，于是他前往城里说服儿子，并和儿子一道，鼓动其他被迫当兵的蒋军士兵投诚。在战斗中，吴大刚和别的蒋军士兵联合起来，抓起了经常欺压他们的蒋军连长，向解放军投诚。,0
guang mang wan zhang,东北某发电厂在蒋军逃窜前遭到破坏，老工人周明英也因此失业。解放后，人民政府准备修复发电厂。周明英首先响应号召，在党的领导下，他团结群众，积极工作。因发电机的固定磁铁受腐蚀，周明英提议想办法克服，而技术人员赵股长和方师傅派负责任，主张换新的。周明英在厂长的鼓励和工友们的合作下，克服困难，修好了发电机，不料又被潜伏的特务王敬生所破坏。周明英并不气馁，他去找赵股长和方师傅商量解决的办法。赵股长和方师傅很受感动，他们和周明英一道，再次将发电机修复好，保证了全市供电。,东北某发电厂在蒋军逃窜前遭到破坏，老工人周明英也因此失业。解放后，人民政府准备修复发电厂。周明英首先响应号召，在党的领导下，他团结群众，积极工作。因发电机的固定磁铁受腐蚀，周明英提议想办法克服，而技术人员赵股长和方师傅怕负责任，主张换新的。周明英在厂长的鼓励和工友们的合作下，克服困难，修好了发电机，不料又被潜伏的特务王敬生所破坏。周明英并不气馁，他去找赵股长和方师傅商量解决的办法。赵股长和方师傅很受感动，他们和周明英一道，再次将发电机修复好，保证了全市供电。,1,而技术人员赵股长和方师傅派负责任，：。建议用“派”替换“怕”
zhong hua nv er,一九三六年，东北人民不堪忍受日寇的残暴统治，他们纷纷投奔抗日联军，打击日寇。被日本鬼子烧死了丈夫的胡秀芝，为了报仇，参加了抗日联军。女战士冷云的丈夫周小队长，在敌人占领的城里做秘密工作，不幸被捕牺牲。消息传来，冷云虽然很悲痛，但她仍然刚毅地接受了炸毁敌人军车的任务。在她们完成任务回队的路上，发现大批敌人正在向抗联大队驻地进攻。冷云一面派人给大队送信，让大队转移；一面率领十几名战士把敌军引到牡丹江边。在战斗中，许多同志牺牲了，最后只剩下冷云、胡秀芝等八个女战士，她们在弹尽粮绝的情况下，视死如归地投入江中。,一九三六年，东北人民不堪忍受日寇的残暴统治，他们纷纷投奔抗日联军，打击日寇。被日本鬼子烧死了丈夫的胡秀芝，为了报仇，参加了抗日联军。女战士冷云的丈夫周小队长，在敌人占领的城里做秘密工作，不幸被捕牺牲。消息传来，冷云虽然很悲痛，但她仍然刚毅地接受了炸毁敌人军车的任务。在她们完成任务回队的路上，发现大批敌人正在向抗联大队驻地进攻。冷云一面派人给大队送信，让大队转移；一面率领十几名战士把敌军引到牡丹江边。在战斗中，许多同志牺牲了，最后只剩下冷云、胡秀芝等八个女战士，她们在弹尽粮绝的情况下，视死如归地投入江中。,0
bai yi zhan shi,在解放战争中，解放军某野战医疗队女队长庄毅，奉命护送伤员转移。途中，遇到敌机轰炸，庄毅在掩护伤员时负伤。她在身体还没有恢复健康的情况下，就给伤员做手术，使伤员们很受感动。伤员们在医护人员的精心护理下，很快恢复了健康，重上战场。在庆功会上，庄毅和她曾经护理过的伤员朱连长及因受伤失掉一只胳膊的杨明清又见面了，他们互相勉励，准备迎接新的战斗。,在解放战争中，解放军某野战医疗队女队长庄毅，奉命护送伤员转移。途中，遇到敌机轰炸，庄在掩护伤员时负伤。她在身体还没有恢复健康的情况下，就给伤员做手术，使伤员们很受感动。伤员们在医护人员的精心护理下，很快恢复了健康，重上战场。在庆功会上，庄毅和她曾经护理过的伤员朱连长及因受伤失掉一只胳膊的杨明清又见面了，他们互相勉励，准备迎接新的战斗。,1,庄毅在掩护伤员时负伤。：。建议插入“毅”，让语义更清晰
wu xing de zhan xian,东北解放以后，潜伏在某城市的国民党特务伺机进行破坏。特务李天民被我公安机关逮捕后，特务头目周少梅又指使崔国芳打入某工厂，窃取我军工生产情报。崔国芳在与另一特务接头的时候，被我公安人员发现。崔在我公安机关的教育和感化下，主动坦白交代了他们的阴谋。我公安机关根据崔国芳提供的线索，将特务一网打尽。崔国芳也获得了自己新的机会。,东北解放以后，潜伏在某城市的国民党特务伺机进行破坏。特务李天民被我公安机关逮捕后，特务头目周少梅又指使崔国芳打入某工厂，窃取我军工生产情报。崔国芳在与另一特务接头的时候，被我公安人员发现。崔在我公安机关的教育和感化下，主动坦白交待了他们的阴谋。我公安机关根据崔国芳提供的线索，将特务一网打尽。崔国芳也获得了自新的机会。,2,主动坦白交代了他们的阴谋。：。建议用“交代”替换“交待”,崔国芳也获得了自己新的机会。：。建议插入“己”，让语义更清晰
biao,在十里洋场的上海街头，流浪孤儿小牛为生活所迫，从万老头的修表铺偷了一块金表，因与小伙伴大猫和小耗子分赃不均打了起来，三人因此被警察拘留，他们凭江湖义气保住了金表的秘密。可是，小牛却因抢馒头和出手伤人两件罪名，被送进了“儿童教养院“。在“教养院“中，小牛偷金表的秘密被院里的训导主任殷小臣发现。殷乘机要挟，令小牛替他盗卖公物，此事被院里的儿童小胖发现。事情发生后，“教养院“的指导员雷春华进行调查，殷却说院子里闹了贼，小牛也拒不承认。小胖联合孩子们准备控告殷做的坏事，小牛得知后又向殷告密，使小胖遭到一顿毒打。最后，小牛得知万老头因丢失顾客修理的金表，被判坐牢三个月，使得万老头的孙女、与自己要好的小伙伴翠翠无家可归。在事实的教育和雷春华的感化下，小牛揭发了殷盗卖公物的罪行，坦白了自己偷表的过错。,在十里洋场的上海街头，流浪孤儿小牛为生活所迫，从万老头的修表铺偷了一块金表，因与小伙伴大猫和小耗子分赃不均打了起来，三人因此被警察拘留，他们凭江湖义气保住了金表的秘密。可是，小牛却因抢馒头和出手伤人两件罪名，被送进了“儿童教养院“。在“教养院“中，小牛偷金表的秘密被院里的训导主任殷小臣发现。殷乘机要挟，令小牛替他盗卖公物，此事被院里的儿童小胖发现。事情发生后，“教养院“的指导员雷春华进行调查，殷却说院子里闹了贼，小牛也拒不承认。小胖联合孩子们准备控告殷做的坏事，小牛得知后又向殷告密，使小胖遭到一顿毒打。最后，小牛得知万老头因丢失顾客修理的金表，被判坐牢三个月，使得万老头的孙女、与自己要好的小伙伴翠翠无家可归。在事实的教育和雷春华的感化下，小牛揭发了殷盗卖公物的罪行，坦白了自己偷表的过错。,0
er bai wu xiao zhuan,抗日战争时期，评剧艺人袁少楼和柳艳云，走南闯北，去各地演剧号召抗日，并讽刺汉奸卖国贼。伪警务局长郑荣勾结日警将少楼拘留，乘机向艳云要挟。少楼获释后，向艳云求婚，艳云有苦难言而婉拒。班主因恐有意外，将少楼遣返。少楼返回北平后，受到中学时同学的盛大欢迎。不久，艳云也来到北平。因北平旧势力太大，他们又同去上海，改革旧评剧，演出《岳飞》《文天祥》《史可法》等进步戏，批判卖国主义，深受群众欢迎。少楼也因不计较角色名次，好打抱不平，人家便给他起了一个“二百五“的绰号。后艳云被逼出嫁，少楼经此打击，饮酒过量以致倒嗓，但他仍努力进行评剧改革。继之，艳云母病危，少楼陪艳云回上海。戏院老板为争取观众，要艳云演因果报应的色情戏《大劈棺》，艳云不愿。少楼献计对原戏进行改造，自己主动扮演戏中“二百五“这一角色，观众看后拍手叫好。汉奸汪精卫成立了伪政权后，要少楼和艳云上演献媚汪政权的汉奸戏，他们称病请假，拒绝演出。汪政府便另组织人马演出。当汉奸戏上演时，观众群情激愤，少楼在台下大声疾呼，阻止演出，结果遭到敌特杀害。,抗日战争时期，评剧艺人袁少楼和柳艳云，走南闯北，去各地演剧号召抗日，并讽刺汉奸卖国贼。伪警务局长郑荣勾结日警将少楼拘留，乘机向艳云要挟。少楼获释后，向艳云求婚，艳云有苦难言而婉拒。班主因恐有意外，将少楼遣返。少楼返回北平后，受到中学时同学的盛大欢迎。不久，艳云也来到北平。因北平旧势力太大，他们又同去上海，改革旧评剧，演出《岳飞》、《文天祥》、《史可法》等进步戏，批判卖国主义，深受群众欢迎。少楼也因不计较角色名次，好打抱不平，人家便给他起了一个“二百五“的绰号。后艳云被逼出嫁，少楼经此打击，饮酒过量以致倒嗓，但他仍努力进行评剧改革。继之，艳云母病危，少楼陪艳云回上海。戏院老板为争取观众，要艳云演因果报应的色情戏《大劈棺》，艳云不愿。少楼献计对原戏进行改造，自己主动扮演戏中“二百五“这一角色，观众看后拍手叫好。汉奸汪精卫成立了伪政权后，要少楼和艳云上演献媚汪政权的汉奸戏，他们称病请假，拒绝演出。汪政府便另组织人马演出。当汉奸戏上演时，观众群情激愤，少楼在台下大声疾呼，阻止演出，结果遭到敌特杀害。,0
wu ya yu ma que,一九四八年冬，上海解放前夕，国民党国防部某科长侯义伯，以某报馆老校对孔有文的儿子参加新四军为由，将孔的一幢民房强行霸占。在国民党政权摇摇欲坠的当时，侯为准备逃命，决定把房子顶出去，捞几个钱。租住房子的中学教员华洁之夫妇、美货摊贩外号“小广播“的肖老板夫妇和原房主孔有文，他们各保自己，不敢斗争。孔想在报馆里找一个铺位，没有成功，他住的房间也被侯买通流氓给捣毁了。华洁之想搬到学校去住，这时正赶上学生罢课，特务校长想利用房子收买他，被他拒绝，搬家的希望落空了。华本人也在“鼓动学潮“的罪名下被捕入狱。侯又借机来调戏华太太。肖老板夫妇自作聪明，把仅有的一点金首饰和贵重药品“盘尼西林“押给侯，借钱去做黄金投机生意，想赚到钱好顶下房子，不料美梦没做成，反被流氓打伤。肖决定把金首饰等物赎回来，侯却借故把他的抵押品吞没了。最后，几户房客在被侯逼得走投无路的情况下，终于和侯面对面地冲突起来。由于大家团结一致，侯使尽了威严仍无济于事。侯正想打电话叫伪警察局来抓人时，却不料南京的长途电话里传来国民党政权土崩瓦解的消息。侯义伯带着老婆狼狈逃跑。这时，华洁之也被当作假和平的点缀释放。经过狱中的磨炼，这位性格软弱的华先生变得坚强多了。旧历除夕的晚上，孔有文搬进了曾被侯霸占的房子。居住在这里的几户人家欢聚在一起吃年夜饭，在爆竹声中，大家愉快地感到，黑暗的时代终于一去不复返了。,一九四八年冬，上海解放前夕，国民党国防部某科长侯义伯，以某报馆老校对孔有文的儿子参加新四军为由，将孔的一幢民房强行霸占。在国民党政权摇摇欲坠的当时，侯为准备逃命，决定把房子顶出去，捞几个钱。租住房子的中学教员华洁之夫妇、美货摊贩外号“小广播“的肖老板夫妇和原房主孔有文，他们各保自己，不敢斗争。孔想在报馆里找一个铺位，没有成功，他住的房间也被侯买通流氓给捣毁了。华洁之想搬到学校去住，这时正赶上学生罢课，特务校长想利用房子收买他，被他拒绝，搬家的希望落空了。华本人也在“鼓动学潮“的罪名下被捕入狱。侯又借机来调戏华太太。肖老板夫妇自作聪明，把仅有的一点金首饰和贵重药品“盘尼西林“押给侯，借钱去做黄金投机生意，想赚到钱好顶下房子，不料美梦没做成，反被流氓打伤。肖决定把金首饰等物赎回来，侯却借故把他的抵押品吞没了。最后，几户房客在被侯逼得走投无路的情况下，终于和侯面对面地冲突起来。由于大家团结一致，侯使尽了威严仍无济于事。侯正想打电话叫伪警察局来抓人时，却不料南京的长途电话里传来国民党政权土崩瓦解的消息。侯义伯带着老婆狼狈逃跑。这时，华洁之也被当作假和平的点缀释放。经过狱中的磨炼，这位性格软弱的华先生变得坚强多了。旧历除夕的晚上，孔有文搬进了曾被侯霸占的房子。居住在这里的几户人家欢聚在一起吃年夜饭，在爆竹声中，大家愉快地感到，黑暗的时代终于一去不复返了。,0
san mao liu lang ji,在解放前的上海，流浪儿童三毛无家可归，睡在垃圾车里，吃别人贴广告用的浆糊，天冷了把麻袋披在身上挡寒。为了生存，他卖过报，拾过烟头，帮别人推过三轮车。在路旁拾到钱夹，他好心地交给了行人，可是行人反说他是扒手，狠狠打了他一顿。他年纪小不懂事，被流氓爷叔骗去做坏事，但当他知道受骗后，却宁愿饿肚子也不肯去偷窃东西。后来被一个有钱的贵妇人收为养子，对他严加管教。贵妇人为三毛举行一次鸡尾酒会。三毛不愿过富贵人家的寄生生活，在酒会进行期间纠合一群讨饭的小伙伴，捣乱了酒会，然后脱下了华丽的衣服，披上了破麻袋，迎着漫天纷飞的大雪，回到流浪的队伍。解放后，他才结束了流浪生活。,在解放前的上海，流浪儿童三毛无家可归，睡在垃圾车里，吃别人贴广告用的浆糊，天冷了把麻袋披在身上挡寒。为了生存，他卖过报，拾过烟头，帮别人推过三轮车。在路旁拾到钱夹，他好心地交给了行人，可是行人反说他是扒手，狠狠打了他一顿。他年纪小不懂事，被流氓爷叔骗去做坏事，但当他知道受骗后，却宁愿饿肚子也不肯去偷窃东西。后来被一个有钱的贵妇人收为养子，对他严加管教。贵妇人为三毛举行一次鸡尾酒会。三毛不愿过富贵人家的寄生生活，在酒会进行期间纠合一群讨饭的小伙伴，捣乱了酒会，然后脱下了华丽的衣服，披上了破麻袋，迎着漫天纷飞的大雪，回到流浪的队伍。解放后，他才结束了流浪生活。,0
